filename	ATTRIBUTE_BodySite	ATTRIBUTE_BodyHabitat
Cl.V10.2E11.C	UBERON:skin of chest	UBERON:skin
Cl.V10.2E12.UB	UBERON:skin of back	UBERON:skin
Cl.V10.2F1.LB	UBERON:skin of back	UBERON:skin
Cl.V11.2F2.Blank	Not applicable	UBERON:blank
Cl.V11.2F3.RA	UBERON:skin of armpit	UBERON:skin
Cl.V11.2F4.LA	UBERON:skin of armpit	UBERON:skin
Cl.V11.2F5.C	UBERON:skin of chest	UBERON:skin
Cl.V11.2F6.UB	UBERON:skin of back	UBERON:skin
Cl.V11.2F7.LB	UBERON:skin of back	UBERON:skin
Cl.V12.2F8.Blank	Not applicable	UBERON:blank
Cl.V12.2F9.RA	UBERON:skin of armpit	UBERON:skin
Cl.V12.2F10.LA	UBERON:skin of armpit	UBERON:skin
Cl.V12.2F11.C	UBERON:skin of chest	UBERON:skin
Cl.V12.2F12.UB	UBERON:skin of back	UBERON:skin
Cl.V12.2G1.LB	UBERON:skin of back	UBERON:skin
Cl.Blank.3A1.empty	Not applicable	UBERON:blank
Cl.V9.3A2.Blank	Not applicable	UBERON:blank
Cl.V9.3A3.RA	UBERON:skin of armpit	UBERON:skin
Cl.V9.3A4.LA	UBERON:skin of armpit	UBERON:skin
Cl.V9.3A5.C	UBERON:skin of chest	UBERON:skin
Cl.V9.3A6.UB	UBERON:skin of back	UBERON:skin
Cl.V9.3A7.LB	UBERON:skin of back	UBERON:skin
Cl.V1.3A8.Blank	Not applicable	UBERON:blank
Cl.V1.3A9.RA	UBERON:skin of armpit	UBERON:skin
Cl.V1.3A10.LA	UBERON:skin of armpit	UBERON:skin
Cl.V1.3A11.C	UBERON:skin of chest	UBERON:skin
Cl.V1.3A12.UB	UBERON:skin of back	UBERON:skin
Cl.V1.3B1.LB	UBERON:skin of back	UBERON:skin
Cl.V2.3B2.Blank	Not applicable	UBERON:blank
Cl.V2.3B3.RA	UBERON:skin of armpit	UBERON:skin
Cl.V2.3B4.LA	UBERON:skin of armpit	UBERON:skin
Cl.V2.3B5.C	UBERON:skin of chest	UBERON:skin
Cl.V2.3B6.UB	UBERON:skin of back	UBERON:skin
Cl.V2.3B7.LB	UBERON:skin of back	UBERON:skin
Cl.V3.3B8.Blank	Not applicable	UBERON:blank
Cl.V3.3B9.RA	UBERON:skin of armpit	UBERON:skin
